"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:43:40,6970502","parent.exe","20288","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs","NAME NOT FOUND","Length: 20"
"23:43:40,6970634","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"23:43:40,6970783","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS","Desired Access: Read"
"23:43:40,6970975","parent.exe","20288","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS","Index: 0, Type: REG_SZ, Length: 24, Data: sysmain.sdb"
"23:43:40,6971112","parent.exe","20288","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS","Index: 0, Type: REG_SZ"
"23:43:40,6971252","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS",""
"23:43:40,6971401","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS","Desired Access: Read"
"23:43:40,6971553","parent.exe","20288","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysMerge.sdb","NAME NOT FOUND","Length: 0"
"23:43:40,6971665","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"23:43:40,6971864","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS","Desired Access: Read"
"23:43:40,6972024","parent.exe","20288","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysMerge.sdb","NAME NOT FOUND","Length: 0"
"23:43:40,6972184","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"23:43:40,6972748","parent.exe","20288","CreateFile","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"23:43:40,6973194","parent.exe","20288","QueryStandardInformationFile","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS","AllocationSize: 32 768, EndOfFile: 31 900, NumberOfLinks: 2, DeletePending: False, Directory: False"
"23:43:40,6973288","parent.exe","20288","QueryStandardInformationFile","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS","AllocationSize: 32 768, EndOfFile: 31 900, NumberOfLinks: 2, DeletePending: False, Directory: False"
"23:43:40,6973423","parent.exe","20288","CreateFileMapping","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ|PAGE_NOCACHE"
